crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2025-03-29T00:00:00Z,20:05:00,QUEENS,11418,40.70145,-73.837425,"
,  
(40.70145, -73.837425)",113 ST,85 AVE,NA,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,NA,NA,NA,4802229,Moped,NA,NA,NA,NA
2025-03-29T00:00:00Z,16:53:00,BROOKLYN,11226,40.648533,-73.95826,"
,  
(40.648533, -73.95826)",FLATBUSH AVE,SNYDER AVE,NA,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802380,Moped,Bus,NA,NA,NA
2025-03-29T00:00:00Z,02:11:00,NA,NA,40.730038,-73.92393,"
,  
(40.730038, -73.92393)",44 ST,55 AVE,NA,1,0,0,0,0,0,1,0,Unsafe Speed,NA,NA,NA,NA,4802317,Moped,NA,NA,NA,NA
2025-03-29T00:00:00Z,00:06:00,QUEENS,11428,40.722782,-73.74208,"
,  
(40.722782, -73.74208)",92 AVE,217 ST,NA,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,NA,NA,NA,NA,4801890,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2025-03-29T00:00:00Z,15:40:00,QUEENS,11379,40.711918,-73.87128,"
,  
(40.711918, -73.87128)",80 ST,67 DR,NA,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802165,Sedan,E-Bike,NA,NA,NA
2025-03-29T00:00:00Z,20:20:00,NA,NA,40.877106,-73.90615,"
,  
(40.877106, -73.90615)",W 230 ST,BROADWAY,NA,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802536,Station Wagon/Sport Utility Vehicle,E-Scooter,NA,NA,NA
2025-03-29T00:00:00Z,02:40:00,MANHATTAN,10002,40.72282,-73.99309,"
,  
(40.72282, -73.99309)",BOWERY,STANTON ST,NA,2,0,0,0,0,0,2,0,Driver Inexperience,Driver Inexperience,NA,NA,NA,4802585,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,08:14:00,BROOKLYN,11201,40.696198,-73.98876,"
,  
(40.696198, -73.98876)",ADAMS ST,TILLARY ST,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,4801914,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,03:50:00,MANHATTAN,10012,40.72688,-74.00312,"
,  
(40.72688, -74.00312)",MAC DOUGAL ST,PRINCE ST,NA,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4802095,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,13:30:00,QUEENS,11435,40.68747,-73.79478,"
,  
(40.68747, -73.79478)",SUTPHIN BLVD,112 AVE,NA,0,0,0,0,0,0,0,0,Driver Inexperience,Following Too Closely,Unspecified,NA,NA,4802321,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA
2025-03-29T00:00:00Z,13:35:00,BROOKLYN,11215,40.66551,-73.99277,"
,  
(40.66551, -73.99277)",4 AVE,PROSPECT AVE,NA,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,NA,NA,NA,4802208,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,20:25:00,BRONX,10466,40.88698,-73.84744,"
,  
(40.88698, -73.84744)",LACONIA AVE,E 229 ST,NA,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,NA,NA,NA,4802269,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,20:35:00,NA,NA,40.662613,-73.75621,"
,  
(40.662613, -73.75621)",223 ST,145 RD,NA,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,NA,NA,NA,NA,4801957,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,03:20:00,MANHATTAN,10009,40.729523,-73.97756,"
,  
(40.729523, -73.97756)",NA,NA,605       E 14 ST,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4801980,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,16:01:00,BROOKLYN,11213,40.663486,-73.9355,"
,  
(40.663486, -73.9355)",NA,NA,800       EMPIRE BLVD,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,NA,NA,4802465,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,NA,NA
2025-03-29T00:00:00Z,23:32:00,BROOKLYN,11216,40.677036,-73.95028,"
,  
(40.677036, -73.95028)",NA,NA,1187      DEAN ST,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,NA,NA,NA,4802134,Station Wagon/Sport Utility Vehicle,Convertible,NA,NA,NA
